Question	Right Answer	Wrong Answer 1	Wrong Answer 2	Wrong Answer 3	Story	Link for video or picture	Length of Story	Notes	 									Remarks
What is Cognitive Science?	The Science of the Brain and Mind	The Science of the Grain and Rice	The Science of the Drain and Pipes	The Song of Fire and Ice	What exactly are you studying? That is a question Cognitive Science students get asked all the time! I think they are happy that I am here to answer this question for them. The goal of Cognitive Science is trying to discover the properties of the brain and mind. This knowledge can for example be used to create intelligent computers and machines. Hopefully, you will learn more about this field with this quiz.	CogSciOsna.mp4	23	Changed first sentence as Cognitive Science was said quite often in story and while reading the answers. The last sentence from the story is a bit different from what peper says. - Pepper now reads out the story as it is written here - Marcel										
What do people usually mean when they talk about Artificial Neural Networks?	Computing systems based on real life neurons	An artificial brain made out of cables and wires	A social network where cognitive scientists can interact	A replacement for destroyed brains	Artificial Neural Networks are computing systems that are vaguely inspired by brains. As suggested by their name, they are made of processing units called artificial neurons. They can learn many tasks automatically if you just give them enough examples. Today they are used for all kinds of cool stuff like speech and image recognition, data filtering, and even playing board games.	ANN.mp4	25	Pepper pronounces ANNs as Ns										
What is the first law of robotics?	A robot should not injure or harm a human	A robot should not steal	A robot should not pass	A robot has to follow human orders	The second law says a robot has to follow human orders and the third law says that a robot can protect its own existence. These rules were written by science fiction writer Isaac Asimov. They can only be applied to  autonomous robots, which do not actually exist yet. And I could not harm a human, even if I tried! 	asimovs_laws.png	24											
What subfields do not help to make Cognitive Science an interdisciplinary subject?	Literature and History	Philosophy, Anthropology, and Linguistics	Computer Science and AI	Psychology and Neuroscience  	Cognitive science combines knowledge from many other scientific disciplines, but not necessarily literature and history. All of the other mentioned fields help cognitive scientists to study the mind to model the brain, understand language processing, and build intelligent systems. In Osnabrueck, instead of anthropology, we rather focus on Neuro Informatics and Robotics.	Hexagon.png	24											
Which of these is not an area of specialization in the Cognitive Science program at Osnabrueck University?	Parapsychology	Neuroscience	Computational Linguistics	Artificial Intelligence	Parapsychology is the study of paranormal and psychic phenomena. The Cognitive Science program at Osnabrueck University does not concern itself with pseudo science. Instead, Bachelor's students can focus their studies in the areas of Computational Linguistics, Cognitive Neuropsychology, Neuroscience, Neuro Informatics, AI, Computer Science, and Philosophy of Mind. 	WhatisCogSci.mp4	24											
What is the mind?	The phenomena of intelligence, cognition, thoughts, memory, etc.	The human faculty which deals with the physical properties of the brain	The mind is the brain	All of them	This is a highly discussed topic, but in my opinion the mind is defined by its property and ability to think and reason. Some refer to it as the seat of the faculty of intelligence, reason, and the entirety of conscious and unconscious mental processes and activities.	brain_mind_thing.png	13	The first wrong answer is little bit confusing even though we know this is an wrong answer. - agreed! It's not quite clear what is meant with it. I also added something like "In my opinion, the mind is .." for pepper's story since definitions for the mind are not at all clear cut and changed "totality" to "entirety"; changes marked with bold font (Quynh). 										
How many nerves are there in the human brain?	More than 100 billion nerves	More than 100 million nerves	More than 10 billion nerves	More than a quadrillion nerves	The larger part of the brain is the cerebrum which is divided into several lobes, namely the frontal, parietal, temporal and the occipital lobe. There is also the cerebellum and the brain stem which are located between the spinal cord and the cerebrum. Overall, these parts of the brain contain more than 100 billion synapses and nerve cells. I hope that wasn't boring, but I think the brain is so fascinating. I wish I had one myself!	neurons.png	22	He needs to mention that there are so many neurons in the brain. The story needs to be related to the question. And it would nicer if we remove"I hope it wasn't too boring" part. -- I actually think the "i hope it wasn't boring" part gives it a nice touch, the whole statement gives Pepper some character IMO, but majority voting rules :) I added a suggestion for adding the no of synapses, changes marked with bold font - Quynh. I would say we can leave it, doesn't make the story too long I guess. Also, I changed the slash in "synapses/nerve cells" to an "and" because otherwise it sounded weird as Pepper does not pronounce the slash. - Marcel										
What is the difference between the brain and the mind?	The brain is a physical entity while the mind is a mental phenomenon	The brain is much smarter than the mind	There is no difference	The mind is much smarter than the brain	This is a very philosophical question. You humans sometimes use the words brain and mind interchangeably. But in my opinion, they really do refer to separate concepts. The brain is an organ whereas the mind resides within this physical brain. The mind is made of thoughts, perceptions, emotions, determination, memory, and imagination that all take place within the brain.	mind_body_shortened.mp4	25	video is a green mess of pixels?										
Out of the following options, what is the least likely workplace after getting a Cognitive Science degree?	Medical doctor	Software development	Marketing and PR 	Research and university work	Since cognitive science is such an interdisciplinary field of study, students have many diverse job opportunities depending on the specialisations they chose. You could possibly end up being employed by tech or communication companies, publishing and researching firms, or universities. However, Cognitive Science by no means enables you to become a practicioning MD. 	workplace.PNG	25	The question will be better if we say what is the least likely instead of the most likely.. We need to make some changes in the answers as well. The question, answer and the story do not fit well with each other. -- agreed on the most likely -> least likely switch. I don't necessarily think we need to make the answers and story fir together better. I think it's enough if the correct answer and the story fit together. again, my suggestions are added in bold font (Q). EDIT: okay, these are the changes i made: most likely --> least likely. i swapped starbucks to medical doctor (because it sounded kind of deregorative towards the people who hustle by working at starbucks. and changed the story a bit accordingly. With the optional responses pepper doesnt say medical doctor and soft ware development			 							but the fact is that academician isnt a workfield which makes that option a fallacy
Which of the following industries is the least transformed by Machine Learning and robotics?	Gastronomy	Manufacturing	Finance 	Health Care	Doctors are using robotics to conduct invasive surgeries under much safer and more efficient conditions! Modern and industrial manufacturing was one of the first industries to make use of robots and automation systems, starting as far back as the 1960s. And in the finance industry, smart trading algorithms already rule the world’s markets. But even with Watson Chef and the onset of Cognitive Cooking, gastronomy overall has not yet been greatly transformed by robotics. Personally, I am not even able to fry an egg!	Ted.mp4	25	not completely happy with the video, but we'll see after testing if it looks okay. alternative: robot surgery https://www.youtube.com/watch?v=Iyb1ePpLF4E    Error message at the end of the story										
Which of the following individuals is not a well known figure in Cognitive Science?	Michael Jackson	Noam Chomsky	Antonio Damasio	Alan Turing	Chomsky is acknowledged as a founder in the field of cognitive science, specifically for his work in linguistics. Antonio Damasio is well known for his theory of emotions. Alan Turing is widely considered to be the father of computer science and AI. But while Michael Jackson was a great musician he wasn't a Cognitive Scientist!  	important_figs_cogsci.png	16	Maybe Exchange Michael Jackson for something more plausible? Add what Chomsky is known for (linguistics)										
Which is one of the biggest challenges for the field of computational linguistics?	Natural Language Processing	Phonetics	Phonology	Phrase-Structure Grammars	Phonetics and phonology are both subfields of linguistics but they are not the most burning challenge at the moment. Natural Language Processing, however, definitely is. It frequently involves speech recognition, natural language understanding, and natural language generation. Understanding other humans, which is pretty easy for you, turns out to be really hard for us machines!	natural-language-processing.png	28	Remove Climate Change as possible answer and exchange it with something that is a liitle bit more plausible. Remove one of the "However" from the stories										
