PROJEKTE / BERUFE	Frage	Richtige Antwort	Falsche Antwort 1	Falsche Antwort 2	Falsche Antwort 3	Reaktion richtige Antwort	Reaktion falsche Antwort 1	Reaktion falsche Antwort 2	Reaktion falsche Antwort 3	Story (Pepper)	Bilddatei	Bild / Video	Beschreibung (Text)	Quelle	QR-Code Link
ReKo	Wie viel Prozent der pflegebedürftigen Menschen in Deutschland werden zu Hause versorgt?	70%	30%	90%	50%	Klasse, du bist gut! Rund 70% der pflegebedürftigen Menschen in Deutschland werden zu Hause versorgt. 	Leider daneben - etwa 70% der pflegebedürftigen Menschen werden zu Hause versorgt. 	Nicht ganz - es sind etwa 70% der pflegebedürftigen Menschen, die zu Hause versorgt werden.	Leider daneben. Etwa 70% der pflegebedürftigen Menschen werden zu Hause versorgt. 	Im Projekt "ReKo" wird dem Engpass in der Pflegeversorgung in ländlichen Regionen entgegengewirkt.	Folie1.PNG	Regionale Pflegekompetenzzentren, Innovationsstrategie für die Langzeitpflege vor Ort, DAK Broschüre	Im Projekt "Regionales Pflegekompetenzzentrum" kommt es unter der Verknüpfung von ambulanten und stationären Akteuren aus Gesundheit und Pflege zum Aufbau einer Case Management Organisation.   Neben einer Fallbegleitung der Hilfeempfänger wird die interkommunale Netzwerkarbeit gestärkt. Ein digitales Ökosystem wird zur Verbesserung des Informationsaustauschs und der Kommunikation zwischen den beteiligten Akteuren implementiert.  	Deutsches Institut für angewandte Pflegeforschung e.V. (2018): Pflege-Thermometer 2018. In: http://www.dip.de/projekte/projekt-details/?tx_ttnews%5BbackPid%5D=56&tx_ttnews%5Btt_news%5D=254&cHash=05679c282d2af35655b3887fd5f964d6&L=0 (Download am 03.05.2018) 	https://rekopflege.de/
ROSE	Wie viele Jahre dauert es typischerweise, bis medizinische Evidenz Einzug in die ärztliche Routineversorgung erhält?	15 Jahre 	3 Jahre	20 Jahre	10 Jahre	15 Jahre, eine lange Zeit aber richtig. Super gelöst!	Leider nicht. Tatsächlich dauert es 5 mal so lange, nämlich ganze 15 Jahre.	Zum Glück ist diese Antwort falsch. Die richtige Antwort wäre 15 Jahre gewesen. 	Das wäre schön aber entspricht nicht der Realität. Die richtige Antwort wäre 15 Jahre gewesen. 	Das Projekt ROSE will in der Region Osnabrück-Emsland ein "lernendes Gesundheitssystem" mit engem Austausch von Wissenschaft und Praxis etablieren.	Folie2.PNG	Hochschule Osnabrück (2019): Projektbeschreibung. In: https://www.hs-osnabrueck.de/de/rose/projektbeschreibung/#viewer-lightbox[786740]-0 (Download 15.05.2019)	Das Projekt „ROSE“ widmet sich einer auf die Region Osnabrück fokussierten Forschung, dem Aufbau entsprechender forschungsförderlicher Strukturen und der Entwicklung von institutionalisierten Beziehungen zu den Gesundheitseinrichtungen in der Region.   Ein weiteres Ziel von „ROSE“ ist der Aufbau und Betrieb eines Graduiertenkollegs von Hochschule und Universität Osnabrück. 	Bundesministerium für Bildung und Forschung (2016): Wissenstransfer zwischen Forschung und Gesellschaft. In: https://www.gesundheitsforschung-bmbf.de/files/wissenstransfer_barrierefrei.pdf (Download 15.05.2019) 	https://www.hs-osnabrueck.de/de/rose/
KeGL	Wie viel Prozent der Pflege- und Therapieberufe sollten nach Empfehlung des Wissenschaftsrates akademisch qualifiziert werden?	 10% bis 20% 	5%	50%	70% bis 80% 	Gut geraten? Oder Spezialist? Genau richtig! Nach Empfehlung des Wissenschaftsrates sollten 10 bis 20 Prozent der Pflege- und Therapieberufe mit einem Bädschela-Abschluss qualifiziert werden. 	Die Empfehlung des Wissenschaftsrates liegt bei 10 bis 20 Prozent und somit über deiner Vermutung. 	Die Empfehlung des Wissenschaftsrates liegt bei 10 bis 20 Prozent und somit unter deiner Vermutung. 	Die Empfehlung des Wissenschaftsrates liegt bei 10 bis 20 Prozent und somit unter deiner Vermutung. 	Der GesundheitsCampus Osnabrück setzt sich unter dem Stichwort "KeGL"  für die Kompetenzentwicklung von Gesundheitsfachpersonal im Kontext des Lebenslangen Lernens ein.	Folie3.PNG	Ostfalia Hochschule für angewandte Wissenschaften (o.J.): KeGL, Broschüre 	Ziel des Forschungsprojekts „KeGL“ - Kompetenz-entwicklung von Gesundheitsfachpersonal im Kontext des Lebenslangen Lernens –  ist die Entwicklung berufsbegleitender akademischer Zertifizierungsprogramme in Verbindung mit einer verstärkten Würdigung gesamtheitlicher persönlicher Kompetenzprofile.  	Meyer, G. (2015): Ein evidenzbasiertes Gesundheitssystem: Die Rolle der Gesundheitsfachberufe. In: Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen. Heft 109. S. 378-383	https://www.hs-osnabrueck.de/de/kegl/
GiO	Wie viele jährliche Todesfälle in deutschen Krankenhäusern wären im Sinne der Patientensicherheit vermeidbar?	ca. 20.000	ca. 200	ca. 2.000	ca. 200.000	Korrekt. Du scheinst ein Experte in Sachen Patientensicherheit zu sein!	Leider nein. Man muss hier von schätzungsweise zwanzigtausend vermeidbaren Todesfällen ausgehen.	Leider nein. Man muss hier von schätzungsweise zwanzigtausend vermeidbaren Todesfällen ausgehen.	Zum Glück ist es weniger, aber man muss hier von schätzungsweise zwanzigtausend vermeidbaren Todesfällen ausgehen.	Die "Modellregion Patientensicherheit" in Osnabrück ist zentrales Ziel des GesundheitsCampus. Derzeit werden im Projekt Dschio verschiedene Fragen zur Sicherheitskultur untersucht.	Folie4.PNG	Hochschule Osnabrück (2019): Das Projekt. In: https://www.hs-osnabrueck.de/de/gio/projekt/ (Download 15.05.2019)  	Im Projekt „GIO“ - Gestaltungskompetenz als Innovator für hochzuverlässige Organisationen im Gesundheitssystem - sollen die Voraussetzungen für die Gestaltung einer Sicherheitskultur exemplarisch anhand von Krankenhäusern ermittelt werden.   Die Mitarbeiter* innen sollen hierbei befähigt werden, hochzuverlässige, nachhaltige Gesundheitsorganisationen zu gestalten.   	Schrappe, M. (2018): APS-Weißbuch Patientensicherheit. In: http://matthias.schrappe.com/index_htm_files/gesamt_180809_web_1vorwort.pdf (Download 15.05.2019)	https://www.nachhaltige-patientensicherheit.de/
MusikPhysioAnalysis	Welcher Anteil professioneller Orchestermusiker leidet in Deutschland an spürbaren körperlichen Beschwerden bei der Arbeit?	Etwa jeder zweite	Etwa jeder vierte	Etwa jeder siebte	Etwa jeder zehnte	Das ist korrekt! Tatsächlich leidet jeder zweite professionelle Orchestermusiker in Deutschland an spürbaren körperlichen Beschwerden.	Leider kommt es häufiger vor - etwa bei jedem zweiten professionellen Orchestermusiker.	Leider kommt es häufiger vor - etwa bei jedem zweiten professionellen Orchestermusiker.	Leider kommt es häufiger vor - etwa bei jedem zweiten professionellen Orchestermusiker.	In einem Projekt der Hochschule Osnabrück werden durch Bewegungsanalysen Strategien zur physiotherapeutischen Behandlung und Prävention entwickelt.	Folie5.PNG	Hochschule Osnabrück (2019): Binnenforschungs­schwerpunkt MusikPhysioAnalysis. In:  https://www.hs-osnabrueck.de/de/binnenforschungsschwerpunkt-musikphysioanalysis/ (Zugriff am 15.05.2019)  	Im Projekt „MusikPhysioAnalysis“ kommt es zur Durchführung einer Bewegungsanalyse bei Musikern.  Auf Grundlage der erhobenen Daten wird eine physiotherapeutische Strategie zur Behandlung von musikerassoziierten Erkrankungen entwickelt.   Auf Grundlage der Forschungsergebnisse wird zum Ende des Förderzeitraumes ein Präventionskonzept entwickelt	Gembris, H. u. Heye, A. (2012): Älter werden im Orchester. Eine empirische Studie zu Erfahrungen, Einstellungen, Performanz und Lebensperspektiven von professionellen Orchestermusikern. In: https://www.dov.org/system/files/2017-12/2012-04-17_Gembris_und_Heye_Aelter_werden_im_Orchester.pdf (Zugriff am 16.05.2018)	https://www.hs-osnabrueck.de/de/binnenforschungsschwerpunkt-musikphysioanalysis/
interkult. Pflegelotsen	Wie viele in Deutschland lebende Menschen haben einen Migrationshintergrund?	etwa 19 Millionen  	etwa 7 Millionen	etwa 15 Millionen	etwa 26 Millionen	Sehr gut! Im Jahr 2017 hatten etwa 19 Millionen in Deutschland lebende Menschen einen Migrationshintergrund 	Nicht ganz - tatsächlich haben etwa 19 Millionen Menschen in Deutschland einen Migrationshintergrund.	Nah dran, aber tatsächlich haben etwa 19 Millionen Menschen in Deutschland einen Migrationshintergrund.	Nicht ganz -  etwa 19 Millionen Menschen in Deutschland einen Migrationshintergrund.	In Osnabrück gibt es daher die "interkulturellen Pflegelotsen", die zugewanderten Menschen den Zugang zum Gesundheits- und Pflegesystem erleichtern.	Folie6.PNG	Gesundheitsregion von Landkreis und Stadt Osnabrück (o.J.): Interkulturelle Pflegelotsen: In: https://www.gesundheitsregion-os.de/gesundheitsversorgung/interkulturelle-pflegelotsen (Zugriff am 15.05.2019)  	Im Projekt „Interkulturelle Pflegelotsen“ werden pflegebedürftige Menschen und ihre Angehörigen aus Familien mit Migrationshintergrund bei der Inanspruchnahme professioneller Pflegeleistungen begleitet und unterstützt.   Angestrebt wird die Weiterentwicklung der kultursensiblen Pflege in der Region Osnabrück. 	Bundeszentrale für politische Bildung (2018): Bevölkerung mit Migrationshintergrund I. In: https://www.bpb.de/wissen/NY3SWU,0,0,Bev%F6lkerung_mit_Migrationshintergrund_I.html (Download 15.05.2019)	https://www.gesundheitsregion-os.de/gesundheitsversorgung/interkulturelle-pflegelotsen 
Telepflege	Was ist das häufigste Kernthema von Projekten zur Informations- und Kommunikationstechnik in der Pflege?	Vernetzung professioneller Versorger	Planung und Dokumentation	Entlastungssysteme für körperliche Pflegetätigkeiten	Systeme zur Unterstützung der Patientensicherheit	Ganz genau: Die Vernetzung von professionellen Versorgern ist das häufigste Kernthema von solchen Projekten. 	Die Planung und Dokumentation ist das zweithäufigste Thema. Am häufigsten geht es um die Vernetzung von professionellen Versorgern. 	Entlastungssysteme für körperliche Pflegetätigkeiten sind das dritthäufigste Thema.  Am häufigsten geht es um die Vernetzung von professionellen Versorgern.	Systeme zur Unterstützung der Patientensicherheit liegen auf Platz 4.  Am häufigsten geht es um die Vernetzung von professionellen Versorgern. 	Ein solches Projekt ist die „Telepflege“, die Pflegekräfte im ländlichen Raum mit digitalen Werkzeugen unterstützt.	Folie7.PNG	GewiNet (o.J.):  Telepflege. In:  https://www.gewinet.de/projekte/telepflege.html (Zugriff am 15.05.2019) 	Das Projekt „Telepflege“ zielt auf die Unterstützung von Pflegehilfs- und -fachkräften im ländlichen Raum Niedersachsens durch die telepflegerische und telemedizinische Beratung ab.   Ziel ist die Entwicklung, Erprobung und Evaluation eines Telepflegemodells, das den Zugang zu Gesundheits- und Pflegeleistungen in den Landkreisen Oldenburg und Wesermarsch verbessert. Dazu werden audiovisuelle Kommunikationstechnologien (z.B. Tablet und / oder Smartphone) in der Pflege getestet. 	Bundesministeriums für Gesundheit (2017): ePflege. Informations- und Kommunikationstechnologie für die Pflege. In:  https://www.dip.de/fileadmin/data/pdf/projekte/BMG_ePflege_Abschlussbericht_final.pdf (Zugriff am 17.05.2019)     	https://projekt-telepflege.de/ 
Hausarzt mit Telemedizin	Wie viel Prozent der Befragten aus dem ländlichen Raum sind der Ansicht, dass in ihrer Gemeinde ein Hausärztemangel vorherrscht? 	23%	11%	71%	51%	Du hast den Dreh raus! Etwa ein Viertel der auf dem Land lebenden Menschen fühlt einen Hausärztemangel. 	Leider liegt der Anteil höher als du vermutet hast - es sind ganze 23%. 	Zum Glück ist deine Antwort zu hoch gegriffen. Es sind nur 23%. 	Die richtige Antwort liegt mit 23% zum Glück deutlich tiefer als du vermutet hast.	Im Landkreis Osnabrück versucht der "Hausarzt mit Telemedizin" besonders den ältereren, wenig mobilen Patienten im ländlichen Raum virtuelle Hausbesuche abzustatten.	Folie8.PNG	Quelle: Landkreis Osnabrück (o.J.): Pilotphase „Hausarzt mit Telemedizin“ ist beendet: Projekt soll auf Niedersachsen ausgeweitet werden. In: https://www.landkreis-osnabrueck.de/der-landkreis/pressestelle/pressemeldungen/41516-pilotphase-hausarzt-mit-telemedizin-ist-beendet (Zugriff am 17.05.2019) 	Im Projekt „Hausarzt mit Telemedizin“ wird die hausärztliche Versorgung im ländlichen Raum durch die Anwendung von Telemedizin sichergestellt.  Mittels Vitaldatensensorik werden Patienten langfristig, in regelmäßigen Hausbesuchen begleitet und betreut. Neben einer Verbesserung der Versorgungsqualität wird eine Entlastung der Hausärzte und eine Steigerung der Attraktivität des Berufsfeldes Landarzt durch den Einsatz neuer Techniken angestrebt.   	Schang, L.; Schüttig, W., Sundmacher, L. (2016): Unterversorgung im ländlichen  Raum – Wahrnehmung der Versicherten und ihre Präferenzen für innovative Versorgungsmodelle. In: Böcken, J.; Braun, B. u. Meierjürgen, R. [Hrsg.]: Gesundheitsmonitor 2016. 	https://www.living-lab.org/de/projekte/ 
BGM in der Pflege	Wie viele vollzeitäquivalente Pflegekräften fehlen bis 2030, wenn keine Gegenmaßnahmen ergriffen werden?	etwa 500.000 Stellen 	etwa 50.000 Stellen	etwa 150.000 Stellen	etwa 750.000 Stellen	Richtig - zumindest die Bertelsmann Stiftung sieht im Jahr 2030 fast 500.000 Vollzeitkräfte in der Pflege fehlen.	Zu schön um wahr zu sein! Laut Pflegereport der Bertelsmann Stiftung fehlen im Jahr 2030 fast 500.000 Vollzeitkräfte in der Pflege. 	Zu schön um wahr zu sein! Laut Pflegereport der Bertelsmann Stiftung fehlen im Jahr 2030 fast 500.000 Vollzeitkräfte in der Pflege. 	Damit liegst du zu hoch, aber die Schätzung der Bertelsmann Stiftung ist nicht viel beruhigender: die sieht 2030 etwa 500.000 Vollzeitkräfte in der Pflege fehlen.	Umso wichtiger, Pflegekräfte in ihrem Job möglichst lange gesund und zufrieder zu halten. Auch mit dem Projekt "Gute BGM-Praxis in der Pflege" wird versucht, die Pflegebranche unserer Region bei diesem Ziel zu unterstützen. 	Folie9.PNG		Das Projekt „Gute BGM-Praxis in der Pflege“ entwickelt einen Handlungsleitfaden für das Betriebliche Gesundheitsmanagement (BGM) in ambulanten Pflegeeinrichtungen und Krankenhäusern und begleitet die Einrichtungen bei der Einführung von Präventionsmaßnahmen.  Ziel ist es die Gesundheit der Beschäftigten zu erhalten und zu fördern sowie die Arbeitsplatzattraktivität für Bewerber zu steigern.  	Bertelsmann Stiftung (2018): Die Versorgungslücke in der Pflege wächst. In: https://www.bertelsmann-stiftung.de/de/unsere-projekte/pflege-vor-ort/projektthemen/pflegereport-2030/ (Download am 24.05.2018)	https://www.gewinet.de/projekte/gute-bgm-praxis-in-der-pflege.html 
Apotheke 2.0	Wie viele Apotheken gibt es in Deutschland? 	rund 19.700	rund 8.600	rund 35.600	rund 25.400	Klasse, du bist gut! Laut der Bundesvereinigung deutscher Apothekerverbände gibt es in Deutschland 19.748 Apotheken. 	Leider nein - es sind mehr als doppelt so viel. Laut der Bundesvereinigung deutscher Apothekerverbände gibt es in Deutschland 19.748 Apotheken. 	Da liegst Du zu hoch. Laut der Bundesvereinigung deutscher Apothekerverbände gibt es in Deutschland 19.748 Apotheken. 	Knapp daneben, aber auch vorbei: Laut der Bundesvereinigung deutscher Apothekerverbände gibt es in Deutschland 19.748 Apotheken. 	Um die Frage der digitalen Zukunft dieser 19.700 Apotheken geht es im Projekt Apotheke zwei punkt Null.	Folie10.PNG		Im Projekt „Apotheke 2.0“ erforschen der Apothekerverband Westfalen-Lippe e.V. (AVWL) und die Gesundheitsregion EUREGIO e.V. an der Universität Osnabrück die Einsatzmöglichkeiten von digitalen Technologien in Apotheken. 	Bundesvereinigung Deutscher Apothekerverbände e. V. (2018): Apothekenzahl sinkt auf 19.748 und erreicht tiefsten Stand seit 1987. In: https://www.abda.de/pressemitteilung/apothekenzahl-sinkt-auf-19748-und-erreicht-tiefsten-stand-seit-1987/ (Download am 16.05.2018)  	 https://www.gesundheitsregion-euregio.eu/apotheke-2-0/ 
